image_path,mask_path,class,class_id,num_masks,use_phase1,split,fold
benign\benign (313).png,benign\benign (313)_mask.png,benign,0,1,1,train,1
benign\benign (402).png,benign\benign (402)_mask.png,benign,0,1,1,train,1
malignant\malignant (86).png,malignant\malignant (86)_mask.png,malignant,1,1,1,train,1
benign\benign (279).png,benign\benign (279)_mask.png,benign,0,1,1,train,1
malignant\malignant (166).png,malignant\malignant (166)_mask.png,malignant,1,1,1,train,1
benign\benign (259).png,benign\benign (259)_mask.png,benign,0,1,1,train,1
malignant\malignant (45).png,malignant\malignant (45)_mask.png,malignant,1,1,1,train,1
benign\benign (432).png,benign\benign (432)_mask.png,benign,0,1,1,train,1
benign\benign (395).png,benign\benign (395)_mask.png,benign,0,1,1,train,1
benign\benign (415).png,benign\benign (415)_mask.png,benign,0,1,1,train,1
benign\benign (168).png,benign\benign (168)_mask.png,benign,0,1,1,train,1
malignant\malignant (176).png,malignant\malignant (176)_mask.png,malignant,1,1,1,train,1
benign\benign (230).png,benign\benign (230)_mask.png,benign,0,1,1,train,1
benign\benign (398).png,benign\benign (398)_mask.png,benign,0,1,1,train,1
malignant\malignant (92).png,malignant\malignant (92)_mask.png,malignant,1,1,1,train,1
malignant\malignant (201).png,malignant\malignant (201)_mask.png,malignant,1,1,1,train,1
